Year,Country,Champion,Country,Runner-up,Score in the final
1968,AUS,Rod Laver,AUS,Tony Roche,"6–3, 6–4, 6–2"
1969,AUS,Rod Laver,AUS,John Newcombe,"6–4, 5–7, 6–4, 6–4"
1970,AUS,John Newcombe,AUS,Ken Rosewall,"5–7, 6–3, 6–2, 3–6, 6–1"
1971,AUS,John Newcombe,USA,Stan Smith,"6–3, 5–7, 2–6, 6–4, 6–4"
1972,USA,Stan Smith,ROM,Ilie Năstase,"4–6, 6–3, 6–3, 4–6, 7–5"
1973,TCH,Jan Kodeš,URS,Alex Metreveli,"6–1, 9–8(7–5), 6–3"
1974,USA,Jimmy Connors,AUS,Ken Rosewall,"6–1, 6–1, 6–4"
1975,USA,Arthur Ashe,USA,Jimmy Connors,"6–1, 6–1, 5–7, 6–4"
1976,SWE,Björn Borg,ROM,Ilie Năstase,"6–4, 6–2, 9–7"
1977,SWE,Björn Borg,USA,Jimmy Connors,"3–6, 6–2, 6–1, 5–7, 6–4"
1978,SWE,Björn Borg,USA,Jimmy Connors,"6–2, 6–2, 6–3"
1979,SWE,Björn Borg,USA,Roscoe Tanner,"6–7(4–7), 6–1, 3–6, 6–3, 6–4"
1980,SWE,Björn Borg,USA,John McEnroe,"1–6, 7–5, 6–3, 6–7(16–18), 8–6"
1981,USA,John McEnroe,SWE,Björn Borg,"4–6, 7–6(7–1), 7–6(7–4), 6–4"
1982,USA,Jimmy Connors,USA,John McEnroe,"3–6, 6–3, 6–7(2–7), 7–6(7–5), 6–4"
1983,USA,John McEnroe,NZL,Chris Lewis,"6–2, 6–2, 6–2"
1984,USA,John McEnroe,USA,Jimmy Connors,"6–1, 6–1, 6–2"
1985,FRG,Boris Becker,USA,Kevin Curren,"6–3, 6–7(4–7), 7–6(7–3), 6–4"
1986,FRG,Boris Becker,TCH,Ivan Lendl,"6–4, 6–3, 7–5"
1987,AUS,Pat Cash,TCH,Ivan Lendl,"7–6(7–5), 6–2, 7–5"
1988,SWE,Stefan Edberg,FRG,Boris Becker,"4–6, 7–6(7–2), 6–4, 6–2"
1989,FRG,Boris Becker,SWE,Stefan Edberg,"6–0, 7–6(7–1), 6–4"
1990,SWE,Stefan Edberg,FRG,Boris Becker,"6–2, 6–2, 3–6, 3–6, 6–4"
1991,GER,Michael Stich,GER,Boris Becker,"6–4, 7–6(7–4), 6–4"
1992,USA,Andre Agassi,CRO,Goran Ivanišević,"6–7(8–10), 6–4, 6–4, 1–6, 6–4"
1993,USA,Pete Sampras,USA,Jim Courier,"7–6(7–3), 7–6(8–6), 3–6, 6–3"
1994,USA,Pete Sampras,CRO,Goran Ivanišević,"7–6(7–2), 7–6(7–5), 6–0"
1995,USA,Pete Sampras,GER,Boris Becker,"6–7(5–7), 6–2, 6–4, 6–2"
1996,NED,Richard Krajicek,USA,MaliVai Washington,"6–3, 6–4, 6–3"
1997,USA,Pete Sampras,FRA,Cédric Pioline,"6–4, 6–2, 6–4"
1998,USA,Pete Sampras,CRO,Goran Ivanišević,"6–7(2–7), 7–6(11–9), 6–4, 3–6, 6–2"
1999,USA,Pete Sampras,USA,Andre Agassi,"6–3, 6–4, 7–5"
2000,USA,Pete Sampras,AUS,Patrick Rafter,"6–7(10–12), 7–6(7–5), 6–4, 6–2"
2001,CRO,Goran Ivanišević,AUS,Patrick Rafter,"6–3, 3–6, 6–3, 2–6, 9–7"
2002,AUS,Lleyton Hewitt,ARG,David Nalbandian,"6–1, 6–3, 6–2"
2003,SUI,Roger Federer,AUS,Mark Philippoussis,"7–6(7–5), 6–2, 7–6(7–3)"
2004,SUI,Roger Federer,USA,Andy Roddick,"4–6, 7–5, 7–6(7–3), 6–4"
2005,SUI,Roger Federer,USA,Andy Roddick,"6–2, 7–6(7–2), 6–4"
2006,SUI,Roger Federer,ESP,Rafael Nadal,"6–0, 7–6(7–5), 6–7(2–7), 6–3"
2007,SUI,Roger Federer,ESP,Rafael Nadal,"7–6(9–7), 4–6, 7–6(7–3), 2–6, 6–2"
2008,ESP,Rafael Nadal,SUI,Roger Federer,"6–4, 6–4, 6–7(5–7), 6–7(8–10), 9–7"
2009,SUI,Roger Federer,USA,Andy Roddick,"5–7, 7–6(8–6), 7–6(7–5), 3–6, 16–14"
2010,ESP,Rafael Nadal,CZE,Tomáš Berdych,"6–3, 7–5, 6–4"
2011,SRB,Novak Djokovic,ESP,Rafael Nadal,"6–4, 6–1, 1–6, 6–3"
2012,SUI,Roger Federer,GBR,Andy Murray,"4–6, 7–5, 6–3, 6–4"
2013,GBR,Andy Murray,SRB,Novak Djokovic,"6–4, 7–5, 6–4"
2014,SRB,Novak Djokovic,SUI,Roger Federer,"6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4"
2015,SRB,Novak Djokovic,SUI,Roger Federer,"7–6(7–1), 6–7(10–12), 6–4, 6–3"
2016,GBR,Andy Murray,CAN,Milos Raonic,"6–4, 7–6(7–3), 7–6(7–2)"
2017,SUI,Roger Federer,CRO,Marin Čilić,"6–3, 6–1, 6–4"
2018,SRB,Novak Djokovic,RSA,Kevin Anderson,"6–2, 6–2, 7–6(7–3)"
2019,SRB,Novak Djokovic,SUI,Roger Federer,"7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)"
2021,SRB,Novak Djokovic,ITA,Matteo Berrettini,"6–7(4–7), 6–4, 6–4, 6–3"
2022,SRB,Novak Djokovic,AUS,Nick Kyrgios,"4–6, 6–3, 6–4, 7–6(7–3)"